BBC - Radio Wiltshire,http://stream.live.vc.bbcmedia.co.uk/bbc_radio_wiltshire
BBC - Radio WM,http://stream.live.vc.bbcmedia.co.uk/bbc_wm
BBC - Radio York,http://stream.live.vc.bbcmedia.co.uk/bbc_radio_york
BBC - Three Counties Radio,http://stream.live.vc.bbcmedia.co.uk/bbc_three_counties_radio
BBC - BBC World Service,http://stream.live.vc.bbcmedia.co.uk/bbc_world_service
Bygderadio Vest,http://radio.bygderadiovest.no:8000/radio
KUOW,https://playerservices.streamtheworld.com/api/livestream-redirect/KUOWFM_AAC.aac
Radio Norwegian,http://stream.radionorwegian.com:8000/128.ogg
NRK P1 Hedmark og Oppland,http://lyd.nrk.no/nrk_radio_p1_hedmark_og_oppland_aac_h
NRK P1 Finnmark,http://lyd.nrk.no/nrk_radio_p1_finnmark_aac_h
NRK P1 Troms,http://lyd.nrk.no/nrk_radio_p1_troms_aac_h
NRK P1 Nordland,http://lyd.nrk.no/nrk_radio_p1_nordland_aac_h
NRK P1 Tr�ndelag,http://lyd.nrk.no/nrk_radio_p1_trondelag_aac_h
NRK P1 �stfold,http://lyd.nrk.no/nrk_radio_p1_ostfold_aac_h
Radio �lesund,http://stream.jaerradiogruppen.no:8008/;
NRK P1 Hordaland,http://lyd.nrk.no/nrk_radio_p1_hordaland_aac_h
NRK P1 Sogn og Fjordane,http://lyd.nrk.no/nrk_radio_p1_sogn_og_fjordane_aac_h
NRK P1 M�re og Romsdal,http://lyd.nrk.no/nrk_radio_p1_more_og_romsdal_aac_h
NRK P1 Rogaland,http://lyd.nrk.no/nrk_radio_p1_rogaland_aac_h
NRK P1 Buskerud,http://lyd.nrk.no/nrk_radio_p1_buskerud_aac_h
ANR,http://stream.anr.dk/nordjyske
Radio Nordkapp,http://live.radionordkapp.no/
Radio Alta,http://stream02.nordavis.no:80/radioalta-128k
1431AM,http://1431am.org:8000/1431ogg
Barcelona City FM,https://s2.radio.co/sd9da54aa0/listen
Radio Brume,http://ice1.impek.com/radiobrume
